Altitude,Latitude,Longitude,PixelX,PixelY,Ylatitude
120.4236068725586,47.646374741127104,-122.13838880638127,0,0,47.64146792777959
222.53517150878906,47.63749252588784,-122.14016490837285,291,171,47.63749252588784
224.43408203125,47.637492527072816,-122.14016490836703,290,171,47.637492527072816
224.43470764160156,47.6374925270732,-122.14016490836687,290,171,47.6374925270732
224.73907470703125,47.637492527263134,-122.14016490836707,290,171,47.637492527263134
225.41358947753906,47.63749252768405,-122.14016490836774,290,171,47.63749252768405
226.08383178710938,47.6374925281023,-122.14016490836845,290,171,47.6374925281023
226.48007202148438,47.63749252834957,-122.14016490836877,290,172,47.63749252834957
227.04644775390625,47.637492528703,-122.14016490836912,290,172,47.637492528703
227.43527221679688,47.63749252894564,-122.14016490836924,290,172,47.63749252894564
227.86483764648438,47.637492529213695,-122.14016490836931,290,172,47.637492529213695
228.4628143310547,47.63749252958685,-122.14016490836924,290,172,47.63749252958685
228.97291564941406,47.63749252990517,-122.14016490836903,290,172,47.63749252990517
229.4390106201172,47.63749253019602,-122.14016490836873,290,172,47.63749253019602
229.9884490966797,47.63749253053889,-122.14016490836825,290,172,47.63749253053889
230.41026306152344,47.63749253080212,-122.14016490836774,290,173,47.63749253080212
230.99989318847656,47.637492531170054,-122.1401649083669,290,173,47.637492531170054
231.3786163330078,47.63749253140639,-122.14016490836623,290,173,47.63749253140639
231.967041015625,47.63749253177359,-122.1401649083651,290,173,47.63749253177359
232.47105407714844,47.637492532088096,-122.14016490836394,290,173,47.637492532088096
232.8908233642578,47.637492532350045,-122.1401649083629,290,173,47.637492532350045
233.4365234375,47.63749253269059,-122.1401649083614,290,173,47.63749253269059
233.89810180664062,47.63749253297861,-122.14016490836,290,174,47.63749253297861
234.44309997558594,47.63749253331871,-122.14016490835822,290,174,47.63749253331871
235.07196044921875,47.637492533711125,-122.14016490835596,290,174,47.637492533711125
235.36541748046875,47.63749253389427,-122.1401649083548,290,174,47.63749253389427
235.9523468017578,47.63749253426052,-122.14016490835242,290,174,47.63749253426052
236.45542907714844,47.63749253457445,-122.1401649083502,290,174,47.63749253457445
236.7908172607422,47.63749253478374,-122.14016490834868,290,174,47.63749253478374
237.33583068847656,47.63749253512384,-122.14016490834604,290,174,47.63749253512384
237.75506591796875,47.637492535385455,-122.14016490834392,290,175,47.637492535385455
238.25814819335938,47.637492535699394,-122.14016490834122,290,175,47.637492535699394
238.76123046875,47.637492536013326,-122.14016490833842,290,175,47.637492536013326
239.13853454589844,47.637492536248764,-122.14016490833622,290,175,47.637492536248764
239.6835479736328,47.637492536588866,-122.1401649083329,290,175,47.637492536588866
